,log message,log key,parameter value vector
1668,"10 18 18:09:20 Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)","Retrying connect to server: msra-sa-<*>:<*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)","[1, '41', '8030', '0', '10', '1000']"
1669,10 18 18:09:20 ERROR IN CONTACTING RM.,ERROR IN CONTACTING RM.,[0]
1670,10 18 18:09:20 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
1671,10 18 18:09:20 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 263 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '263', ' ']"
1672,10 18 18:09:21 Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[1, '41/10.190.173.170:8030', '41', '8030']"
1673,10 18 18:09:21 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
1674,10 18 18:09:21 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 264 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '264', ' ']"
1675,"10 18 18:09:22 Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)","Retrying connect to server: msra-sa-<*>:<*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)","[1, '41', '8030', '0', '10', '1000']"
1676,10 18 18:09:22 ERROR IN CONTACTING RM.,ERROR IN CONTACTING RM.,[0]
1677,10 18 18:09:22 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
1678,10 18 18:09:22 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 265 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '265', ' ']"
1679,10 18 18:09:23 Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[1, '41/10.190.173.170:8030', '41', '8030']"
1680,10 18 18:09:23 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
1681,10 18 18:09:23 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 266 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '266', ' ']"
1682,"10 18 18:09:24 Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)","Retrying connect to server: msra-sa-<*>:<*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)","[1, '41', '8030', '0', '10', '1000']"
1683,10 18 18:09:24 ERROR IN CONTACTING RM.,ERROR IN CONTACTING RM.,[0]
1684,10 18 18:09:24 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
1685,10 18 18:09:24 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 267 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '267', ' ']"
1686,10 18 18:09:25 Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[1, '41/10.190.173.170:8030', '41', '8030']"
1687,10 18 18:09:25 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
1688,10 18 18:09:25 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 268 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '268', ' ']"
1689,"10 18 18:09:26 Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)","Retrying connect to server: msra-sa-<*>:<*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)","[1, '41', '8030', '0', '10', '1000']"
1690,10 18 18:09:26 ERROR IN CONTACTING RM.,ERROR IN CONTACTING RM.,[0]
1691,10 18 18:09:26 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
1692,10 18 18:09:26 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 269 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '269', ' ']"
1693,10 18 18:09:27 Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[1, '41/10.190.173.170:8030', '41', '8030']"
1694,10 18 18:09:27 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
1695,10 18 18:09:27 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 270 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '270', ' ']"
1696,"10 18 18:09:28 Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)","Retrying connect to server: msra-sa-<*>:<*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)","[1, '41', '8030', '0', '10', '1000']"
1697,10 18 18:09:28 ERROR IN CONTACTING RM.,ERROR IN CONTACTING RM.,[0]
1698,10 18 18:09:28 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
1699,10 18 18:09:28 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 271 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '271', ' ']"
1700,10 18 18:09:29 Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[1, '41/10.190.173.170:8030', '41', '8030']"
1701,10 18 18:09:29 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
1702,10 18 18:09:29 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 272 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '272', ' ']"
1703,"10 18 18:09:30 Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)","Retrying connect to server: msra-sa-<*>:<*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)","[1, '41', '8030', '0', '10', '1000']"
1704,10 18 18:09:30 ERROR IN CONTACTING RM.,ERROR IN CONTACTING RM.,[0]
1705,10 18 18:09:30 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
1706,10 18 18:09:30 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 273 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '273', ' ']"
1707,10 18 18:09:31 Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[1, '41/10.190.173.170:8030', '41', '8030']"
1708,10 18 18:09:31 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
1709,10 18 18:09:31 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 274 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '274', ' ']"
1710,"10 18 18:09:32 Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)","Retrying connect to server: msra-sa-<*>:<*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)","[1, '41', '8030', '0', '10', '1000']"
1711,10 18 18:09:32 ERROR IN CONTACTING RM.,ERROR IN CONTACTING RM.,[0]
1712,10 18 18:09:32 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
1713,10 18 18:09:32 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 275 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '275', ' ']"
1714,10 18 18:09:33 Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[1, '41/10.190.173.170:8030', '41', '8030']"
1715,10 18 18:09:33 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
1716,10 18 18:09:33 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 276 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '276', ' ']"
1717,"10 18 18:09:34 Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)","Retrying connect to server: msra-sa-<*>:<*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)","[1, '41', '8030', '0', '10', '1000']"
1718,10 18 18:09:34 ERROR IN CONTACTING RM.,ERROR IN CONTACTING RM.,[0]
1719,10 18 18:09:34 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
1720,10 18 18:09:34 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 277 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '277', ' ']"
1721,10 18 18:09:35 Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[1, '41/10.190.173.170:8030', '41', '8030']"
1722,10 18 18:09:35 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
1723,10 18 18:09:35 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 278 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '278', ' ']"
1724,"10 18 18:09:36 Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)","Retrying connect to server: msra-sa-<*>:<*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)","[1, '41', '8030', '0', '10', '1000']"
1725,10 18 18:09:36 ERROR IN CONTACTING RM.,ERROR IN CONTACTING RM.,[0]
1726,10 18 18:09:36 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
1727,10 18 18:09:36 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 279 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '279', ' ']"
1728,10 18 18:09:37 Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[1, '41/10.190.173.170:8030', '41', '8030']"
1729,10 18 18:09:37 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
1730,10 18 18:09:37 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 280 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '280', ' ']"
1731,"10 18 18:09:38 Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)","Retrying connect to server: msra-sa-<*>:<*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)","[1, '41', '8030', '0', '10', '1000']"
1732,10 18 18:09:38 ERROR IN CONTACTING RM.,ERROR IN CONTACTING RM.,[0]
1733,10 18 18:09:38 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
1734,10 18 18:09:38 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 281 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '281', ' ']"
1735,10 18 18:09:39 Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[1, '41/10.190.173.170:8030', '41', '8030']"
1736,10 18 18:09:39 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
1737,10 18 18:09:39 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 282 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '282', ' ']"
1738,"10 18 18:09:40 Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)","Retrying connect to server: msra-sa-<*>:<*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)","[1, '41', '8030', '0', '10', '1000']"
1739,10 18 18:09:40 ERROR IN CONTACTING RM.,ERROR IN CONTACTING RM.,[0]
1740,10 18 18:09:40 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
1741,10 18 18:09:40 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 283 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '283', ' ']"
1742,10 18 18:09:41 Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[1, '41/10.190.173.170:8030', '41', '8030']"
1743,10 18 18:09:41 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
1744,10 18 18:09:41 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 284 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '284', ' ']"
1745,"10 18 18:09:42 Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)","Retrying connect to server: msra-sa-<*>:<*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)","[1, '41', '8030', '0', '10', '1000']"
1746,10 18 18:09:42 ERROR IN CONTACTING RM.,ERROR IN CONTACTING RM.,[0]
1747,10 18 18:09:42 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
1748,10 18 18:09:42 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 285 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '285', ' ']"
1749,10 18 18:09:43 Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[1, '41/10.190.173.170:8030', '41', '8030']"
1750,10 18 18:09:43 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
1751,10 18 18:09:43 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 286 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '286', ' ']"
1752,"10 18 18:09:44 Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)","Retrying connect to server: msra-sa-<*>:<*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)","[1, '41', '8030', '0', '10', '1000']"
1753,10 18 18:09:44 ERROR IN CONTACTING RM.,ERROR IN CONTACTING RM.,[0]
1754,10 18 18:09:44 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
1755,10 18 18:09:44 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 287 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '287', ' ']"
1756,10 18 18:09:45 Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[1, '41/10.190.173.170:8030', '41', '8030']"
1757,10 18 18:09:45 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
1758,10 18 18:09:45 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 288 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '288', ' ']"
1759,"10 18 18:09:46 Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)","Retrying connect to server: msra-sa-<*>:<*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)","[1, '41', '8030', '0', '10', '1000']"
1760,10 18 18:09:46 ERROR IN CONTACTING RM.,ERROR IN CONTACTING RM.,[0]
1761,10 18 18:09:46 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
1762,10 18 18:09:46 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 289 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '289', ' ']"
1763,10 18 18:09:47 Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[1, '41/10.190.173.170:8030', '41', '8030']"
1764,10 18 18:09:47 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
1765,10 18 18:09:47 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 290 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '290', ' ']"
1766,"10 18 18:09:48 Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)","Retrying connect to server: msra-sa-<*>:<*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)","[1, '41', '8030', '0', '10', '1000']"
1767,10 18 18:09:48 ERROR IN CONTACTING RM.,ERROR IN CONTACTING RM.,[0]
1768,10 18 18:09:48 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
1769,10 18 18:09:48 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 291 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '291', ' ']"
1770,10 18 18:09:49 Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[1, '41/10.190.173.170:8030', '41', '8030']"
1771,10 18 18:09:49 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
1772,10 18 18:09:49 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 292 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '292', ' ']"
1773,"10 18 18:09:50 Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)","Retrying connect to server: msra-sa-<*>:<*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)","[1, '41', '8030', '0', '10', '1000']"
1774,10 18 18:09:50 ERROR IN CONTACTING RM.,ERROR IN CONTACTING RM.,[0]
1775,10 18 18:09:50 Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Address change detected. Old: msra-sa-<*><*> New: msra-sa-<*>:<*>,"[0, '41/10.190.173.170:9000', '41', '9000']"
1776,10 18 18:09:50 Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 293 seconds.  Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds. Will retry shortly ...,"[0, '1537864556', '1', '293', ' ']"
